No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
1,JAWA TENGAH,KEBUMEN,BUAYAN,ADIWARNO,"Jl. Karangbolong,Adiwarno, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah, Rangkah, Buayan, Kab. Kebumen, Jawa Tengah",SPPG Kebumen Buayan Rangkah
2,KALIMANTAN SELATAN,TANAH LAUT,TAMBANG ULANG,SUNGAI PINANG,Jl. Kebun Karet H. Abidin Rt 002 Rw 001 Desa Sungai Pinang Kec. Tambang Ulang Kab. Tanah Laut,SPPG Tanah Laut Tambang Ulang Sungai Pinang
3,KEPULAUAN RIAU,KOTA BATAM,SAGULUNG,TEMBESI,"Jl Letjen Suprapto, Daerah Mall Top 100 Tembesi (Depan Rusunawa)",SPPG Kota Batam Sagulung Tembesi 1
4,JAWA TENGAH,KEBUMEN,PREMBUN,TUNGGALROSO,Desa Tunggalroso Kecamatan Prembun Kabupaten Kebumen Jawa Tengah,SPPG Kebumen Prembun Tunggalroso
5,JAWA BARAT,CIANJUR,CIJATI,CIBODAS,"Jl. Pangeran Antasari, No. 82, Cibodas, Kec. Cijati, Kab. Cianjur, Jawa Barat",SPPG Cianjur Cijati Cibodas 3
6,JAWA BARAT,CIANJUR,SUKALUYU,SINDANGRAJA,Jl. Raya Cibogo Bandung Jonggol sindangraja sukaluyu cianjur Jawa Barat,SPPG Cianjur Sukaluyu Sindangraja
7,NUSA TENGGARA TIMUR,KOTA KUPANG,MAULAFA,MAULAFA,"Jln. Fetor feonay, Rt 16/ Rw 06,Kel. Maulafa,Kec. Maulafa,Kota Kupang,NTT",SPPG Kota Kupang Maulafa Maulafa
8,SUMATERA UTARA,SIMALUNGUN,GUNUNG MALIGAS,KARANG SARI,"Jl. Purwo Huta Tiga, Karang Sari, Kec. Gunung Maligas, Kab. Simalungun, Sumatera Utara",SPPG Simalungun Gunung Maligas Karang Sari
9,JAWA BARAT,SUKABUMI,CIBADAK,PAMURUYAN,"Jl. Pamuruyan Leuweung Datar, Desa Pamuruyan, Kec. Cibadak, Kab. Sukabumi, Jawa Barat",SPPG Sukabumi Cibadak Pamuruyan 3
10,SULAWESI TENGGARA,MUNA BARAT,TIWORO UTARA,TONDASI,"Jl. Poros Tondasi, Desa Tondasi, Kecamatan Tiworo Utara, Kabupaten Muna Barat, Sulawesi Tenggara",SPPG Muna Barat Tiworo Utara Tondasi
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
11,SUMATERA UTARA,KOTA MEDAN,MEDAN AREA,TEGAL SARI III,"Jl. Bromo, Gang Sederhana, No. 14 A , Tegal Sari III, Kec. Medan Area, Kota Medan, Sumatera Utara",SPPG Kota Medan Medan Area Tegal Sari Iii
12,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,KADIPIRO,"Jl. Kerinci No 20, Banjarsari, Kec. Banjarsari, Kota Surakarta, Jawa Tengah",SPPG Kota Surakarta Banjarsari Kadipiro 3
13,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,TAPUANG,"Jl. Tapuang Muka, Tapuang, Kecamatan Tahuna, Kabupaten Kepulauan Sangihe, Sulawesi Utara",SPPG Kepulauan Sangihe Tahuna Timur Tapuang
14,DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,GALUR,PANDOWAN,"Padukuhan I RT 07 RW 04 Pandowan, Galur , Kulon Progo , Yogyakarta",SPPG Kulon Progo Galur Pandowan
15,RIAU,KAMPAR,KAMPAR KIRI HILIR,SUNGAI PAGAR,"Jl. Sungai Pagar Mentulik Km.2,5 Desa Sungai Pagar, Kecamatan Kampar Kiri Hilir, Kabupaten Kampar, Riau",SPPG Kampar Kampar Kiri Hilir Sungai Pagar 2
16,JAWA TENGAH,KLATEN,KLATEN TENGAH,KLATEN,"Jl. Pramuka, Pondok, Klaten, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57411",SPPG Klaten Klaten Tengah Klaten 2
17,JAWA TIMUR,MALANG,NGANTANG,SUMBERAGUNG,"Jl. Raya Sumberagung Rt 008 Rw 002, Kebonsari, Sumberagung, Kecamatan Ngantang, Kabupaten Malang, Jawa Timur",SPPG Malang Ngantang Sumberagung 2
18,JAWA BARAT,GARUT,CISOMPET,CISOMPET,"Kampung Lumbung, Rt 02 Rw 01, Cisompet, Kecamatan Cisompet, Kabupaten Garut, Jawa Barat",SPPG Garut Cisompet Cisompet 3
19,KEPULAUAN RIAU,KOTA BATAM,LUBUK BAJA,BALOI INDAH,"Komplek Taman Kota Mas, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau",SPPG Kota Batam Lubuk Baja Baloi Indah 3
20,SUMATERA SELATAN,OGAN KOMERING ILIR,LEMPUING JAYA,MUKTISARI,"Desa Mukti Sari Bambu Kuning, RT 09 RW 03, Kecamatan Lempuing Jaya, Kabupaten Ogan Komering Ilir, Provinsi Sumatera Selatan",SPPG OKI Lempuing Jaya Muktisari
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
21,KEPULAUAN RIAU,KOTA BATAM,BATAM KOTA,SUNGAI PANAS,"Jl. Raja H. Fisabilillah, Sungai Panas. Kota Batam",SPPG Kota Batam Batam Kota Sungai Panas 2
22,ACEH,ACEH UTARA,MEURAH MULIA,BEURINGEN,"Jalan Putroe Beutong, Gampong Beuringen, Kecamatan Meurah Mulia, Kabupaten Aceh Utara, Aceh 24372",SPPG Aceh Utara Meurah Mulia Gampong Teungoh
23,JAWA TIMUR,SIDOARJO,WARU,PEPELEGI,"Jl. Joyoboyo No.66, Legi, Pepelegi, Waru, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Waru Pepelegi
24,JAWA TIMUR,GRESIK,DRIYOREJO,DRIYOREJO,"Jl. Kh Abdurohim 01 Desa Driyorejo, Kec. Driyorejo, Kab. Gresik, Jawa Timur",SPPG Gresik Driyorejo Driyorejo 2
25,JAWA TENGAH,CILACAP,ADIPALA,DOPLANG,"Jl. Kartini Desa Doplang, Kecamatan Adipala, Kabupaten Cilacap, Jawa Tengah",SPPG Cilacap Adipala Doplang 3
26,JAWA TIMUR,KOTA PASURUAN,PANGGUNGREJO,PEKUNCEN,"Jl. Pahlawan No.29, Pekuncen, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur",SPPG Kota Pasuruan Panggungrejo Pekuncen 3
